lot,title,artist,medium,signage,size,sale_date,auction_house,auction_name
"81","En Route 3","Andy Quilty","Oil on aluminium composite board","signed and titled verso","32.5 x 37.3 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"82","Awakening","Dan Mazzotti","Oil on board","signed and dated lower right  titled and artist's stamp verso","89 x 59 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"83","Untitled Seascape","James Ashton","Oil on canvas on board","signed lower left","26 x 36 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"84","London Street Stall","Percy Ivor Hunt","Watercolour on paper","signed lower right  titled verso","24.5 x 22.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"85","Untitled Enclosed Form, 1993","Pippin Drysdale","Glazed ceramic","signed and dated at base [Pippin / Drysdale / '93)","height 30 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"86","European Harbour Scene","Rene Collot D'Herbois","Oil on card","signed lower left","45 x 34 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"87","Two prints","Keith Leslie Cowlam","Screenprints","","Screenprints","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"88","The Race Meeting, WA","William Allan Baker","Oil on board","signed lower left","46 x 51 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"89","Street Scene","George Feather Lawrence","Oil on canvas on board","signed lower right","75 x 69 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"90","Kalamunda Blacksmith, 1918","Herbert William Gibbs","Watercolour on paper","signed and dated lower right","19 x 27 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"91","Untitled Landscape, 1992","Jennifer Hopewell","Watercolour and gouache on paper","signed and dated lower right","34 x 105 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"92","Sandcastle","Arturo Cruz","Oil on canvas on board","signed lower right","20 x 28.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"93","The Beach Umbrella","Elizabeth Blair Barber","Oil on canvas on board","signed lower left","18 x 23.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"94","Untitled Rocky Coastal Scene with Red Sky and Gulls","James Ashton","Oil on canvas","signed lower right","39.5 x 63 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"95","Matilda Bay, Perth","Romola Clifton","Watercolour on paper","signed lower left","53 x 75 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"96","Nude Dressing","William Boissevain","Mixed media on paper","signed lower right","56 x 45 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"97","Unititled, Nude Study, 1994","William Boissevain","Mixed media on paper","signed and dated lower right","62 x 48 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"98","South-West Landscape","Rene Collot D'Herbois","Oil on board","signed lower right","44 x 33 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"99","Ginger Jar and Jug, 2011","Crispin Akerman","Oil on linen","signed titled and dated verso","55 x 55 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"100","Still Life with Lillies and Daisies","Diana Johnston","Oil on board","signed lower left","120 x 120 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"101","Late Evening in Port","Matthew Perceval","Oil on board","signed lower left  titled verso","24 x 33 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"102","Untitled, Sun, Cloud, Light Study, c1976","Howard Hamilton Taylor","Oil on masonite","","10.3 x 30.4 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"103","The Vinyard Workers","Margaret Benoit","Oil on board","signed lower left","52 x 65.5 cm. Provenance: Certificate of Authenticity Alexan","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"104","Wogamia Homestead, Nowra, NSW","Joseph Ambrose Frost","Watercolour and gouache on paper","","27 x 42 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"105","South Perth from Kings Park C.1904","John Campbell","Watercolour","pencil and bodycolour","39 x 69 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"106","Depicts the French trading gifts with the local Aboriginees at King George Sound, (Today, Albany)","Karl Joseph Brodtmann","Lithograph","","16 x 26 cm (plate)","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"107","Perth from Matilda Bay, C.1970's","Frank H. Spears","Oil on gessoed board","signed lower right","28 x 33.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"108","Untitled, 2005","Daisy Loongkoonan","Synthetic polymer paint on linen","inscribed verso [artist's name Cat. LU 102]","59 x 58 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"109","Boomerang Carved with Emus and a Carved Pearl Shell 'Leaf' Pendant","Aboriginal Artist Unknown","Carved wood","","Carved wood","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"110","Decorated lidded bowl depicting Wandjina and Aboriginal motifs","Artist Unknown","Pottery","signed initials to base J.S","19.5 x 18 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"111","Central Australian Landscape","Lindberg Inkamala","Watercolour","signed lower right","27 x 34 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"112","Mens Dreaming","Michael Nelson Tjakamarra","Synthetic polymer paint on canvas","","129 x 54 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"113","Untitled","Adrian Jangala Robertson","Synthetic polymer paint on board","","29 x 30.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"114","Untitled, Wandjinas","Biddy Dale","Synthetic polymer paint on linen","inscribed verso: [Biddy Dale | BD7 | Facilitated by (illeg.)]","67 x 117 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"115","Lumpu Lumpu","Daisy Andrews","Synthetic polymer paint on canvas","","66 x 122 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"116","The Morning Star, 2007","Gambinya Thelma Burke","Synthetic polymer paint on linen","","101 x 75 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"117","Central Australian Landscape","Hermann Namatjira","Watercolour on paper","signed lower centre","25 x 35 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"118","Untitled, Hermannsburg Landscape; Untitled, Hermannsburg Landscape with Gums (2)","Lindberg Inkamala","Watercolours on paper","signed lower left; signed lower centre-left","24 x 35 cm; 35 x 24.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"119","Untitled, Central Australian Landscape","Seth Namatjira","Synthetic polymer paint and pencil on wood","Cat AK11089","12.5 x 45.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"120","Two paintings: (1) 'The Creation Story for Tiger's Country l, 2006; The Creation Story for Tiger's Country ll, 2006 (2)","Tiger Palpatja","Both synthetic polymer paint on canvas","both Inscribed verso: artist's name  title  Tjala Cat 257-06 and 256-06","80 x 30 cm each And (2) 'Synthetic polymer paint on canvas","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"121","Central Australia Dessert Shield, mid 29th century","Artist Unknown","Beanwood","","decorated with ochre pigment and fluted lines","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"122","A Collection of Axe Heads and Carved Stone Spear Heads","Aboriginal Artist Unknown","Various rock types and sizes","","one with gum resin","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"123","Emu Dreaming (In the country of Warlukulangu)","Angela Kelly Nangala","Synthetic polymer paint on linen","","150 x 120 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"124","Three Emus come to Water and Marlu","Pantjite Mary McLean","Synthetic polymer paint on canvas","inscribed verso [Mrs Mary McLean  Bunjidi / 3 emus come to water & marlu  1 lady & Buba (dog) Dog has a drink of water & then goes & dies.]","45.5 x 60.3 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"125","Campsite Dreaming I; Campsite Dreaming II c.2005 (2)","Lindsay Bird Mpetyane","Both synthetic polymer paint on canvas","both with Certificate of Authenticity dated 06/07/2024","33 x 40 cm each","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"126","Untitled, Central Australia Landscape","Maurice Namatjira","Watercolour on paper","signed lower left","23 x 71 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"127","Central Australia, Ranges and Gums","Otto Pareroultja","Watercolour on paper","signed lower centre-left","33 x 52 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"128","Six South West Landscape Pictures","Wendy Feifar Nannup","Oil in ceramic tile","","signed lower left (","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"129","Untitled, Waterholes","Willy Billabong","Synthetic polymer paint on canvas","inscribed verso: [X l Willy Billabong l Cat Y01/019]","62 x 79 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"130","Parwalla, Near Kiwirrkurra, WA, 1998","Elizabeth Nyumi Nungurrayi","Synthetic polymer paint on linen","inscribed verso: [Artist's name  Warlayirti Artists Cat 605/98]","90 x 60 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"131","Murrawuk","Helen McCarthy Tyalmuty","Acrylic on linen","signed lower right","90 x 122 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"132","Portsmouth","Charles Herbert Woodbury","Etching","signed lower left","22.6 x 27.7 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"133","Low Tide, Cob Bridge, 1915","Childe Hassam","Etching","inscribed lower left  '","19.5 x 27.6 cm (plate)","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"137","Cherries","Carl A. Whitfield","Oil on panel","","9.5 x 18.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"138","Lady in Ruff","Artist Unknown","Oil on canvas","","62 x 46 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"139","Devon Coast by Moonlight","Peter Cosslett","Oil on canvas on board","signed lower left","38.5 x 48.5 cm","10-Sep-24","McKenzies Auctioneers","Furniture, Art, Oriental & Collectables Auction (Art lots only), McKenzies Auctioneers, Perth"
"1","Seascape","Charles Arthur Wheeler","Oil on board","signed lower left and lower right","29 x 38 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"2","North Cottesloe Beach","Kenneth J. (Ken) Knight","Oil on board","signed lower right","24.5 x 29.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"3","Girl with a Flower Basket","Ron Van Gennip","Oil on canvas","signed lower left","54 x 75 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"4","Subiaco Hotel","Herman Pekel","Oil on board","signed lower right","59 x 41.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"5","Evening Blue, 1995","John Richard Cartwright","Oil on board","signed and dated lower right  titled verso","50 x 60 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"6","The Bird Watchers","Leon Pericles","Etching hand colouring and collage","edition 74/150  signed lower right  titled lower centre","38 x 25 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"7","Glen Davis Landscape","Werner Filipich","Oil on canvas on board","signed lower right","24 x 34 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"8","Breakfast at Parker Point","Greg Baker","Oil on canvas","signed lower left","59 x 70 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"9","Fish Bowl (small)","Pippin Drysdale","Porcelain","black and brown glaze with gold lustre  signed at base.","22 x 8 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"10","Untitled, Landscape with Hills, 1977","Robert Litchfield (Bob) Juniper","Oil on linen on board","signed and dated lower right","19 x 29 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"11","Climb From The Beach","Arthur James Murch","Oil on canvas on board","signed lower right  titled verso","60 x 44.6 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"12","The Guest's Arrival – Goldfields, 1986","Bruce Malloch","Oil on board","signed and dated lower right and titled verso","23 x 36.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"13","Dish from Iznic, 1998","Elizabeth Ford","Oil and mixed media on canvas","signed and dated lower left","40.5 x 30.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"14","Boy and Dog","David Bromley","Acrylic over screenprint","signed lower right","99 x 99 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"15","Sand Dunes – Blues, 1976","Robert Litchfield (Bob) Juniper","Oil on board","signed and dated lower right","58 x 88 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"16","Still Life With Figs","Diana Johnston","Oil on canvas","signed lower left","90 x 120 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"17","Roses in Bloom, Kalamunda, 1992","John Michael (Michael) Challen","Oil on canvas on board","signed lower left  titled and dated verso","36 x 62 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"18","Carnival Fruit, 1992","Pippin Drysdale","Porcelain with gold lustre and coloured glazes","signed","titled and dated at base","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"19","Farmyard Gums","Douglas (Doug) Sealy","Oil on Canvas","signed lower left  titled verso","44 x 60 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"20","Landscape, 1972","Leonard Hugh Long","Oil on board","signed and dated lower right","49 x 59 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"21","Another World","Donald Waters","Acrylic on linen","signed lower left","70 x 90 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"22","Untitled, Sheep Shearing","Elizabeth Durack","Ink and watercolour wash on paper","signed upper left","55 x 42 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"23","A Quiet Place","Ron Van Gennip","Oil on canvas on board","signed lower right","60 x 49 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"24","Leviathan Lament","Leon Pericles","Etching","hand colouring and collage  edition 52/99  signed lower right  titled lower centre","48 x 34 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"25","Sunflowers, 1993","John Blakeley","Oil on canvas","signed and dated lower right","90 x 146 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"26","Baboon, 1987","John Henry Olsen","Watercolour and pastel on paper","signed and dated lower right","56 x 76 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"27","Olympic City","Joseph Ambrose Frost","Oil on cedar","signed lower right","19 x 14 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"28","Out of the Mist","Joseph Ambrose Frost","Oil on cedar","signed lower right","19 x 14 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"29","Soliloquy of a Beachcomber","Leon Pericles","Etching hand colouring and collage","edition 26/99  signed lower right  titled lower centre.","64 x 53 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"30","Checking Pots, Vera Rocks","Greg Baker","Oil on board","signed lower left","66 x 56 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"31","Lady in Blue with Flowers; Lady in Pink (2)","Constantine Popov","Synthetic polymer paint on canvas (both)","signed at left (side); signed at right (side).","35.5 x 25.5 cm (both)","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"32","Untitled","Trevor Vickers","Screenprint on paper c.2003","edition 2/20  signed lower right under image","40 x 47 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"33","Surburban Raid, 2005","Douglas Chambers","Oil and collage on board","signed and dated verso","85 x 85 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"34","Serpentine Falls, 1898","Walter Paterson Meston","Oil on canvas","signed and dated lower right","56 x 66 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"35","Great Expedition, 1977","Leon Pericles","Edition 3/6 Linocut in colours","signed and dated lower right  titled lower centre","79 x 49 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"36","Castle Hotel, York WA, 1988","David Gregson","Watercolour and bodycolour on paper","signed and dated lower right","53 x 73 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"37","Afternoon at Mumballup WA","Henry McLaughlin","Oil on canvas","signed lower left  titled lower right","60 x 90 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"38","Mount Magnificent or Near Jim's Place; Untitled, (Likely Mount Magnificent) (2)","Thomas (Tom) Gleghorn","Egg tempera on board (both)","","44.5 x 29 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"39","The Johnno, 1990","Robert Litchfield (Bob) Juniper","Screenprint","edition 46/75  signed and dated lower right  titled lower centre","60 x 44 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"40","Lolly Bag, 1999","Waldemar Kolbusz","Oil on canvas","signed  titled and dated verso","100 x 100 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"41","Bondi Rocks during a South-Easter","William Henry Howes","Oil","signed lower left","28.3 x 68 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"42","Young Footballers, 1956","Craig Alan Gough","Gouache on card","signed and dated lower left","35.5 x 48.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"43","Timeless Beauty, 2007","Janey Emery","Oil on canvas","signed lower left","76 x 150 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"44","Bush Walkers Resting","Kevin Charles (Pro) Hart","Oil on board","signed lower right","provenance: Sales invoice ?The Green Door Gallery? 25/11/199","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"45","Sumaran, 1981","Sydney Ball","Silkscreen Edition 6/70","signed lower right  titled lower centre","56 x 76 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"46","At Kuntaru, 1990","Robert Litchfield (Bob) Juniper","Screenprint","edition A/P 2/8  signed and dated lower right  titled lower centre","57 x 57 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"47","Still Life with Flowers (Pink and Orange), 1989","Heather Jones","Oil on canvas on board","signed and dated lower right","45 x 38 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"48","Family Climbing a Tree, c.2,000","Murray Gill","Oil on canvas on board","signed lower right  titled verso.","49.5 x 39.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"49","Bridge Over the Seine, Paris","Herman Pekel","Oil on board","signed lower left","29 x 39 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"50","Ellenborough; HMS Duke (2)","John Grant McCredie","Oil on canvas (both)","","39 x 49 cm each","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"51","Still Life, Flowers and Vase, 1994","Valerie Parker","Watercolour","gouache and gilt leaf  signed and dated lower right","32.5 x 24.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"52","Untitled, Perhaps Cordoba, Spain","Rene Collot D'Herbois","Watercolour on paper","signed lower right","20 x 22 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"53","Floral Study on Bible","Kevin Charles (Pro) Hart","Oil on bible cover","signed lower right","12 x 7.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"54","Still Life with Flowers, 1981","David Gregson","Oil on canvas","signed and dated lower right","88 x 85 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"55","Eternity's Avatar","Norman Alfred William Lindsay","Facsimile Etching","numbered 135 of 550  with impressed stamp lower right","35 x 31 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"57","Small Courtyard, 1996","Waldemar Kolbusz","Oil on canvas","signed lower left  titled and dated verso","44 x 60 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"58","At Wellington Mill, Boyanup, WA, 1978","Henry McLaughlin","Oil on canvas","signed and dated lower left  titled lower right","24 x 28.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"60","Mountain Landscape, South of France, 1997","Barbara Chapman","Oil on board","signed and dated lower left","44 x 56 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"61","Ott Russian Series ll Bowl (medium) 1993","Pippin Drysdale","Porcelain","black and grey glaze with gold and silver lustre  signed  titled and dated at base.","26 x 16 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
